task,seed,method,stage10_method_alias,epochs,learning_rate,support_aux_weight,target_attention_aux_weight,optimizer,training_tasks,support_classes,task_train_row_count,multitask_train_row_count,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,train_support_accuracy,train_mean_target_attention,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,validation_support_accuracy,validation_mean_target_attention,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate,test_support_accuracy,test_mean_target_attention
phase_cued_retrieval,313,rope_relative,rope,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.346717,1.299778,0.857697,2.877074,17.762224,0.25,0.471688,0.061081,0.082157,0.167843,0.857697,1.0,0.059654,3.516807,33.676711,0.0,0.154861,0.03201,0.062831,0.062831,0.857697,0.833333,0.027584,3.891355,48.977213,0.0,0.099806,0.022728,0.051363,0.051363,0.857697,0.833333,0.015901
exact_offset_passkey,313,rope_relative,rope,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.346717,1.299778,0.857697,2.809458,16.600925,0.416667,0.645833,0.061934,0.072725,0.343942,0.857697,1.0,0.062636,3.107162,22.357497,0.166667,0.412963,0.046243,0.064829,0.101838,0.857697,1.0,0.040229,3.398139,29.908403,0.333333,0.465545,0.034745,0.050946,0.282387,0.857697,1.0,0.028991
tiny_text_fact_qa,313,rope_relative,rope,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.346717,1.299778,0.857697,2.491393,12.078084,0.666667,0.819444,0.085315,0.091476,0.575191,0.857697,1.0,0.068196,2.861137,17.481385,0.333333,0.588889,0.058122,0.067219,0.266115,0.857697,1.0,0.048284,3.101838,22.238793,0.083333,0.409722,0.046118,0.054636,0.028697,0.857697,1.0,0.036221
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.583099,0.702077,0.857604,3.669473,39.231236,0.083333,0.162439,0.034305,0.116028,0.037772,0.857604,0.916667,0.022189,4.033815,56.475944,0.0,0.08093,0.022662,0.0898,0.0898,0.857604,0.666667,0.013171,4.340235,76.725561,0.0,0.047893,0.01473,0.08184,0.08184,0.857604,0.5,0.009469
exact_offset_passkey,313,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.583099,0.702077,0.857604,3.579088,35.840836,0.083333,0.173566,0.032908,0.101689,0.109483,0.857604,1.0,0.022848,4.0149,55.417748,0.0,0.062966,0.020503,0.087011,0.087011,0.857604,1.0,0.01325,4.267692,71.35674,0.0,0.052887,0.015433,0.06414,0.06414,0.857604,1.0,0.009617
tiny_text_fact_qa,313,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.583099,0.702077,0.857604,3.33474,28.071097,0.0,0.135079,0.037358,0.1265,0.1265,0.857604,1.0,0.025703,3.726898,41.55002,0.0,0.075181,0.025095,0.0988,0.0988,0.857604,1.0,0.016804,3.892898,49.052856,0.083333,0.134418,0.02444,0.075147,0.026598,0.857604,1.0,0.012377
phase_cued_retrieval,313,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.536484,0.702194,0.857619,3.643811,38.237266,0.083333,0.162473,0.035059,0.116944,0.036675,0.857619,0.916667,0.022968,4.041272,56.8987,0.0,0.081742,0.022855,0.090211,0.090211,0.857619,0.666667,0.012949,4.374708,79.416628,0.0,0.044774,0.014304,0.082456,0.082456,0.857619,0.583333,0.009063
exact_offset_passkey,313,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.536484,0.702194,0.857619,3.550378,34.826491,0.083333,0.176054,0.033447,0.100069,0.093403,0.857619,1.0,0.023881,3.9757,53.287398,0.0,0.065991,0.021226,0.086628,0.086628,0.857619,1.0,0.014018,4.237883,69.261056,0.0,0.053705,0.015798,0.064397,0.064397,0.857619,1.0,0.010131
tiny_text_fact_qa,313,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.536484,0.702194,0.857619,3.306392,27.286503,0.0,0.138953,0.038377,0.126498,0.126498,0.857619,1.0,0.026795,3.698678,40.393871,0.0,0.077381,0.025662,0.09912,0.09912,0.857619,1.0,0.01767,3.863509,47.632221,0.083333,0.135573,0.025008,0.075273,0.027143,0.857619,1.0,0.01298
phase_cued_retrieval,317,no_position,no_position,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.480054,1.0,0.857676,2.984981,19.786128,0.166667,0.360741,0.056143,0.080623,0.086044,0.857676,0.916667,0.050933,3.637845,38.009832,0.0,0.09692,0.028235,0.068008,0.068008,0.857676,0.5,0.024415,3.816368,45.438894,0.083333,0.184576,0.025245,0.053736,0.029598,0.857676,0.583333,0.018901
exact_offset_passkey,317,no_position,no_position,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.480054,1.0,0.857676,2.804946,16.52619,0.25,0.411069,0.072451,0.097447,0.209646,0.857676,1.0,0.057188,3.564527,35.322738,0.0,0.135737,0.029435,0.067447,0.067447,0.857676,1.0,0.024346,3.887013,48.765013,0.0,0.071759,0.021471,0.058586,0.058586,0.857676,1.0,0.018612
tiny_text_fact_qa,317,no_position,no_position,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.480054,1.0,0.857676,2.139723,8.497084,0.416667,0.6875,0.12152,0.136613,0.280053,0.857676,1.0,0.08487,2.540617,12.687499,0.333333,0.569444,0.087622,0.102966,0.30372,0.857676,1.0,0.049636,2.90298,18.228384,0.25,0.452183,0.06078,0.085764,0.164236,0.857676,1.0,0.036787
phase_cued_retrieval,317,sinusoidal,sinusoidal,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,3.146524,1.299087,0.857818,2.111006,8.256547,0.916667,0.9375,0.128159,0.130447,0.78622,0.857818,1.0,0.136084,3.183437,24.129538,0.166667,0.368855,0.048619,0.085704,0.117571,0.857818,0.833333,0.038872,3.597579,36.509739,0.166667,0.246417,0.030713,0.06914,0.119341,0.857818,0.916667,0.025295
exact_offset_passkey,317,sinusoidal,sinusoidal,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,3.146524,1.299087,0.857818,1.841076,6.303316,1.0,1.0,0.167194,0.167194,0.832806,0.857818,1.0,0.163967,2.615565,13.67494,0.5,0.722222,0.073978,0.081832,0.418168,0.857818,1.0,0.080574,2.84956,17.280181,0.416667,0.648611,0.059469,0.071193,0.345474,0.857818,1.0,0.062067
tiny_text_fact_qa,317,sinusoidal,sinusoidal,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,3.146524,1.299087,0.857818,1.373432,3.948881,1.0,1.0,0.255472,0.255472,0.744528,0.857818,1.0,0.214774,1.737877,5.685262,1.0,1.0,0.178532,0.178532,0.821468,0.857818,1.0,0.144603,2.013899,7.49247,1.0,1.0,0.135552,0.135552,0.864448,0.857818,1.0,0.109278
phase_cued_retrieval,317,alibi,alibi,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.495374,0.707006,0.857682,2.974199,19.573938,0.0,0.261823,0.054237,0.085403,0.085403,0.857682,1.0,0.050284,3.726372,41.528154,0.0,0.097612,0.026322,0.07202,0.07202,0.857682,0.833333,0.020379,4.001938,54.704038,0.083333,0.14481,0.020851,0.052769,0.030564,0.857682,0.833333,0.015169
exact_offset_passkey,317,alibi,alibi,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.495374,0.707006,0.857682,2.825271,16.865512,0.25,0.37323,0.070511,0.09633,0.242925,0.857682,1.0,0.057198,3.613894,37.110279,0.0,0.113664,0.028237,0.068627,0.068627,0.857682,1.0,0.023934,3.909923,49.895113,0.0,0.08052,0.021055,0.05859,0.05859,0.857682,1.0,0.018337
tiny_text_fact_qa,317,alibi,alibi,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.495374,0.707006,0.857682,2.214601,9.157754,0.333333,0.618056,0.1141,0.136066,0.197268,0.857682,1.0,0.080261,2.638927,13.998169,0.333333,0.469841,0.083803,0.10279,0.300797,0.857682,1.0,0.045625,2.974766,19.585033,0.166667,0.346858,0.057376,0.08508,0.081587,0.857682,1.0,0.034187
phase_cued_retrieval,317,rope_relative,rope,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.08247,1.299601,0.857748,2.720289,15.184706,0.333333,0.560648,0.072495,0.091272,0.242062,0.857748,1.0,0.068968,3.569951,35.514862,0.166667,0.234544,0.030819,0.075394,0.129203,0.857748,0.666667,0.024688,3.940741,51.456695,0.083333,0.15583,0.022495,0.055569,0.027764,0.857748,0.833333,0.016527
exact_offset_passkey,317,rope_relative,rope,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.08247,1.299601,0.857748,2.517048,12.391966,0.416667,0.584722,0.093616,0.108996,0.385331,0.857748,1.0,0.079461,3.276882,26.493048,0.0,0.227371,0.038569,0.071756,0.071756,0.857748,1.0,0.036501,3.524509,33.937096,0.0,0.188019,0.030549,0.059077,0.059077,0.857748,1.0,0.029132
tiny_text_fact_qa,317,rope_relative,rope,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.08247,1.299601,0.857748,1.887343,6.601807,0.916667,0.958333,0.154323,0.156973,0.759694,0.857748,1.0,0.114953,2.224322,9.24721,0.666667,0.833333,0.115575,0.118302,0.548365,0.857748,1.0,0.073402,2.545981,12.755729,0.333333,0.625,0.082551,0.092256,0.241078,0.857748,1.0,0.056947
phase_cued_retrieval,317,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.243523,0.702684,0.857658,3.382395,29.441196,0.083333,0.213476,0.043781,0.121047,0.037713,0.857658,0.833333,0.032339,4.401745,81.593086,0.0,0.047043,0.013557,0.098942,0.098942,0.857658,0.5,0.011755,4.328407,75.823385,0.0,0.063427,0.016047,0.094696,0.094696,0.857658,0.5,0.010119
exact_offset_passkey,317,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.243523,0.702684,0.857658,3.280887,26.599346,0.166667,0.280939,0.051306,0.130456,0.097574,0.857658,1.0,0.035198,4.246628,69.869426,0.0,0.05982,0.01595,0.117308,0.117308,0.857658,1.0,0.011124,4.301111,73.781722,0.0,0.056434,0.015927,0.090207,0.090207,0.857658,1.0,0.010969
tiny_text_fact_qa,317,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.243523,0.702684,0.857658,2.575997,13.14442,0.083333,0.398611,0.078761,0.188567,0.105234,0.857658,1.0,0.050578,2.885786,17.917646,0.333333,0.413283,0.078161,0.16777,0.165563,0.857658,1.0,0.026334,3.351428,28.54346,0.083333,0.214234,0.048875,0.129573,0.177765,0.857658,1.0,0.018736
phase_cued_retrieval,317,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.189825,0.702844,0.857665,3.345099,28.363398,0.083333,0.251168,0.045485,0.123482,0.040149,0.857665,0.833333,0.033769,4.420666,83.151638,0.0,0.044086,0.013417,0.099327,0.099327,0.857665,0.5,0.011341,4.367293,78.829954,0.0,0.058771,0.015353,0.095983,0.095983,0.857665,0.5,0.009655
exact_offset_passkey,317,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.189825,0.702844,0.857665,3.242927,25.608557,0.166667,0.297822,0.053144,0.132258,0.083125,0.857665,1.0,0.036864,4.217845,67.887059,0.0,0.054607,0.016209,0.112135,0.112135,0.857665,1.0,0.011764,4.272405,71.693861,0.0,0.058104,0.016209,0.090188,0.090188,0.857665,1.0,0.011502
tiny_text_fact_qa,317,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.189825,0.702844,0.857665,2.547603,12.776443,0.083333,0.4125,0.080996,0.19063,0.107297,0.857665,1.0,0.052477,2.846523,17.227771,0.333333,0.422421,0.080157,0.170301,0.163033,0.857665,1.0,0.027672,3.332915,28.019914,0.083333,0.217885,0.048587,0.128813,0.178361,0.857665,1.0,0.019447
phase_cued_retrieval,331,no_position,no_position,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.437979,1.0,0.857632,3.021639,20.524904,0.166667,0.348136,0.053301,0.087729,0.078938,0.857632,1.0,0.046901,3.537559,34.382892,0.0,0.134196,0.03096,0.062716,0.062716,0.857632,1.0,0.024525,4.009254,55.10577,0.0,0.063652,0.019318,0.058147,0.058147,0.857632,0.833333,0.018084
exact_offset_passkey,331,no_position,no_position,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.437979,1.0,0.857632,2.573291,13.108898,0.333333,0.519643,0.085237,0.106465,0.226868,0.857632,1.0,0.05897,3.4983,33.059213,0.166667,0.234719,0.034991,0.066196,0.100471,0.857632,1.0,0.025113,4.154331,63.709329,0.0,0.049002,0.016761,0.062773,0.062773,0.857632,1.0,0.016712
tiny_text_fact_qa,331,no_position,no_position,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.437979,1.0,0.857632,2.174559,8.798301,0.333333,0.631944,0.119999,0.146753,0.202043,0.857632,1.0,0.087491,2.714724,15.100441,0.166667,0.5,0.066521,0.09316,0.157109,0.857632,1.0,0.056068,2.835875,17.045316,0.333333,0.498016,0.062864,0.084437,0.248897,0.857632,1.0,0.038118
phase_cued_retrieval,331,sinusoidal,sinusoidal,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,3.153951,1.299276,0.857801,2.145803,8.548902,0.833333,0.895833,0.124863,0.130062,0.703272,0.857801,0.916667,0.132281,3.156181,23.480746,0.166667,0.314457,0.047154,0.079552,0.087115,0.857801,0.833333,0.040048,3.71209,40.939283,0.0,0.08967,0.02524,0.074081,0.074081,0.857801,0.916667,0.024583
exact_offset_passkey,331,sinusoidal,sinusoidal,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,3.153951,1.299276,0.857801,1.819689,6.169937,0.833333,0.916667,0.171496,0.173468,0.659865,0.857801,1.0,0.166583,2.519104,12.417465,0.833333,0.916667,0.081566,0.081771,0.751562,0.857801,1.0,0.083767,3.023079,20.554478,0.166667,0.438294,0.050315,0.072183,0.112042,0.857801,1.0,0.056509
tiny_text_fact_qa,331,sinusoidal,sinusoidal,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,3.153951,1.299276,0.857801,1.422537,4.14763,1.0,1.0,0.243388,0.243388,0.756612,0.857801,1.0,0.230404,1.808104,6.098871,1.0,1.0,0.164627,0.164627,0.835373,0.857801,1.0,0.162335,2.045971,7.736664,0.916667,0.958333,0.131199,0.134285,0.782382,0.857801,1.0,0.116712
phase_cued_retrieval,331,alibi,alibi,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.496164,0.704105,0.857637,3.050562,21.127211,0.083333,0.278177,0.050491,0.086062,0.112092,0.857637,1.0,0.046176,3.624541,37.507522,0.0,0.117079,0.028444,0.057678,0.057678,0.857637,1.0,0.020592,4.167379,64.546048,0.0,0.057034,0.017458,0.055949,0.055949,0.857637,0.833333,0.014617
exact_offset_passkey,331,alibi,alibi,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.496164,0.704105,0.857637,2.669337,14.430404,0.25,0.479497,0.076441,0.103317,0.146683,0.857637,1.0,0.057197,3.479243,32.435159,0.166667,0.23326,0.038904,0.069456,0.200521,0.857637,1.0,0.026343,4.163197,64.276656,0.0,0.057804,0.017001,0.062973,0.062973,0.857637,1.0,0.01586
tiny_text_fact_qa,331,alibi,alibi,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.496164,0.704105,0.857637,2.311858,10.093165,0.5,0.694444,0.105985,0.145279,0.354721,0.857637,1.0,0.080056,2.823082,16.828633,0.333333,0.569444,0.059606,0.093855,0.325043,0.857637,1.0,0.05334,2.989457,19.874893,0.25,0.438294,0.053531,0.081318,0.203151,0.857637,1.0,0.033911
phase_cued_retrieval,331,rope_relative,rope,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.041262,1.299645,0.857711,2.748899,15.625417,0.333333,0.526389,0.069636,0.096444,0.236889,0.857711,1.0,0.064257,3.506143,33.319514,0.0,0.149193,0.032058,0.061338,0.061338,0.857711,1.0,0.024892,4.149778,63.419912,0.0,0.058226,0.017591,0.062806,0.062806,0.857711,0.833333,0.015671
exact_offset_passkey,331,rope_relative,rope,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.041262,1.299645,0.857711,2.324086,10.217337,0.583333,0.738889,0.107187,0.120255,0.463078,0.857711,1.0,0.082437,3.185931,24.189805,0.166667,0.340741,0.046065,0.065896,0.100771,0.857711,1.0,0.037325,3.769016,43.337409,0.0,0.106373,0.024052,0.06409,0.06409,0.857711,1.0,0.026072
tiny_text_fact_qa,331,rope_relative,rope,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.041262,1.299645,0.857711,1.897949,6.672199,0.666667,0.819444,0.155375,0.166773,0.499894,0.857711,1.0,0.120226,2.34491,10.43233,0.666667,0.833333,0.096334,0.111899,0.554767,0.857711,1.0,0.082446,2.517707,12.400128,0.5,0.736111,0.084177,0.093447,0.406553,0.857711,1.0,0.058283
phase_cued_retrieval,331,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.157926,0.702556,0.857542,3.456652,31.710635,0.083333,0.172177,0.044091,0.142752,0.156849,0.857542,0.833333,0.024751,4.220583,68.073163,0.0,0.050776,0.015521,0.090236,0.090236,0.857542,0.5,0.012071,4.661066,105.74876,0.0,0.035622,0.01033,0.087376,0.087376,0.857542,0.5,0.008956
exact_offset_passkey,331,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.157926,0.702556,0.857542,2.982037,19.727963,0.166667,0.273413,0.062322,0.138274,0.173867,0.857542,1.0,0.032985,3.926538,50.731038,0.0,0.130826,0.024609,0.097218,0.097218,0.857542,1.0,0.013716,4.771892,118.1426,0.0,0.03231,0.009177,0.083315,0.083315,0.857542,1.0,0.008758
tiny_text_fact_qa,331,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.157926,0.702556,0.857542,2.512741,12.338698,0.166667,0.390278,0.09394,0.171879,0.120503,0.857542,1.0,0.050392,3.23138,25.31456,0.0,0.135119,0.039848,0.140629,0.140629,0.857542,1.0,0.030076,3.446742,31.397926,0.0,0.145162,0.033952,0.126186,0.126186,0.857542,1.0,0.018905
phase_cued_retrieval,331,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.122322,0.702682,0.857578,3.437312,31.103255,0.083333,0.17178,0.044604,0.141802,0.189326,0.857578,0.833333,0.025539,4.228557,68.618174,0.0,0.04906,0.015399,0.088453,0.088453,0.857578,0.5,0.01174,4.686935,108.520021,0.0,0.033632,0.010202,0.087999,0.087999,0.857578,0.5,0.008611
exact_offset_passkey,331,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.122322,0.702682,0.857578,2.971714,19.525353,0.083333,0.232903,0.061908,0.134702,0.147617,0.857578,1.0,0.034292,3.887083,48.768435,0.0,0.134325,0.025398,0.09575,0.09575,0.857578,1.0,0.014433,4.721602,112.348132,0.0,0.03415,0.00955,0.082571,0.082571,0.857578,1.0,0.009243
tiny_text_fact_qa,331,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,full_batch_adam_dual_auxiliary,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.122322,0.702682,0.857578,2.5085,12.286487,0.166667,0.397222,0.093886,0.169847,0.11921,0.857578,1.0,0.051566,3.236698,25.449559,0.0,0.13254,0.039615,0.139648,0.139648,0.857578,1.0,0.030564,3.448893,31.465536,0.0,0.146785,0.033728,0.123839,0.123839,0.857578,1.0,0.019465
