task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_head_class_count,support_head_train_accuracy,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,validation_selection_metrics,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
tiny_text_fact_qa,313,rope_relative,rope,4,2,4,7,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.783874,2.189939,0.75,0.763889,0.76087,0.771739,0.021739,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,313,phasewrap_bias,phasewrap_bias,4,2,4,7,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.783874,2.189939,0.75,0.763889,0.76087,0.771739,0.021739,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,313,phasewrap_adapter,phasewrap_adapter,4,2,4,7,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.0, 'perplexity': 1.0, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 1.0, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.0}",0.783874,2.189939,0.75,0.763889,0.76087,0.771739,0.021739,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
phase_cued_retrieval,317,no_position,no_position,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.726052, 'perplexity': 2.066905, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.484908, 'mean_top1_confidence': 0.484908, 'expected_calibration_error': 0.515092}",0.071506,1.074125,1.0,1.0,0.933899,0.933899,0.066101,0.726052,2.066905,1.0,1.0,0.484908,0.484908,0.515092,0.837765,2.311196,1.0,1.0,0.482476,0.482476,0.517524
phase_cued_retrieval,317,sinusoidal,sinusoidal,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.726052, 'perplexity': 2.066905, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.484908, 'mean_top1_confidence': 0.484908, 'expected_calibration_error': 0.515092}",0.071506,1.074125,1.0,1.0,0.933899,0.933899,0.066101,0.726052,2.066905,1.0,1.0,0.484908,0.484908,0.515092,0.837765,2.311196,1.0,1.0,0.482476,0.482476,0.517524
phase_cued_retrieval,317,alibi,alibi,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.726052, 'perplexity': 2.066905, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.484908, 'mean_top1_confidence': 0.484908, 'expected_calibration_error': 0.515092}",0.071506,1.074125,1.0,1.0,0.933899,0.933899,0.066101,0.726052,2.066905,1.0,1.0,0.484908,0.484908,0.515092,0.837765,2.311196,1.0,1.0,0.482476,0.482476,0.517524
phase_cued_retrieval,317,rope_relative,rope,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.726052, 'perplexity': 2.066905, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.484908, 'mean_top1_confidence': 0.484908, 'expected_calibration_error': 0.515092}",0.071506,1.074125,1.0,1.0,0.933899,0.933899,0.066101,0.726052,2.066905,1.0,1.0,0.484908,0.484908,0.515092,0.837765,2.311196,1.0,1.0,0.482476,0.482476,0.517524
phase_cued_retrieval,317,phasewrap_bias,phasewrap_bias,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.726052, 'perplexity': 2.066905, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.484908, 'mean_top1_confidence': 0.484908, 'expected_calibration_error': 0.515092}",0.071506,1.074125,1.0,1.0,0.933899,0.933899,0.066101,0.726052,2.066905,1.0,1.0,0.484908,0.484908,0.515092,0.837765,2.311196,1.0,1.0,0.482476,0.482476,0.517524
phase_cued_retrieval,317,phasewrap_adapter,phasewrap_adapter,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.726052, 'perplexity': 2.066905, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.484908, 'mean_top1_confidence': 0.484908, 'expected_calibration_error': 0.515092}",0.071506,1.074125,1.0,1.0,0.933899,0.933899,0.066101,0.726052,2.066905,1.0,1.0,0.484908,0.484908,0.515092,0.837765,2.311196,1.0,1.0,0.482476,0.482476,0.517524
exact_offset_passkey,317,no_position,no_position,4,2,4,7,1.0,1.0,0.0,8.0,8.0,"{'row_count': 2.0, 'loss': 2.460175, 'perplexity': 11.706854, 'top1_accuracy': 0.5, 'mrr': 0.53125, 'mean_target_probability': 0.475118, 'mean_top1_confidence': 0.556983, 'expected_calibration_error': 0.114489}",3.159229,23.552436,0.5,0.530833,0.501645,0.68818,0.188317,2.460175,11.706854,0.5,0.53125,0.475118,0.556983,0.114489,7.90476,2710.152986,0.0,0.044256,0.006228,0.335076,0.335076
exact_offset_passkey,317,sinusoidal,sinusoidal,4,2,4,7,1.0,1.0,12.0,8.0,4.0,"{'row_count': 2.0, 'loss': 0.01603, 'perplexity': 1.016159, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.984224, 'mean_top1_confidence': 0.984224, 'expected_calibration_error': 0.015776}",0.059397,1.061197,1.0,1.0,0.945643,0.945643,0.054357,0.01603,1.016159,1.0,1.0,0.984224,0.984224,0.015776,3.090521,21.988539,0.5,0.708333,0.490319,0.869602,0.390633
exact_offset_passkey,317,alibi,alibi,4,2,4,7,1.0,1.0,2.0,4.0,8.0,"{'row_count': 2.0, 'loss': 2.479645, 'perplexity': 11.93703, 'top1_accuracy': 0.5, 'mrr': 0.533333, 'mean_target_probability': 0.236164, 'mean_top1_confidence': 0.289046, 'expected_calibration_error': 0.332077}",2.59461,13.391364,0.5,0.532727,0.456042,0.560841,0.15821,2.479645,11.93703,0.5,0.533333,0.236164,0.289046,0.332077,5.72601,306.742958,0.0,0.043224,0.009492,0.211799,0.211799
exact_offset_passkey,317,rope_relative,rope,4,2,4,7,1.0,1.0,12.0,4.0,1.0,"{'row_count': 2.0, 'loss': 0.642915, 'perplexity': 1.902018, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.637684, 'mean_top1_confidence': 0.637684, 'expected_calibration_error': 0.362316}",0.801013,2.227797,0.75,0.875,0.601769,0.645835,0.277529,0.642915,1.902018,1.0,1.0,0.637684,0.637684,0.362316,1.619684,5.051493,0.5,0.75,0.209289,0.328159,0.56238
exact_offset_passkey,317,phasewrap_bias,phasewrap_bias,4,2,4,7,1.0,1.0,0.0,8.0,8.0,"{'row_count': 2.0, 'loss': 2.460175, 'perplexity': 11.706854, 'top1_accuracy': 0.5, 'mrr': 0.53125, 'mean_target_probability': 0.475118, 'mean_top1_confidence': 0.556983, 'expected_calibration_error': 0.114489}",3.159229,23.552436,0.5,0.530833,0.501645,0.68818,0.188317,2.460175,11.706854,0.5,0.53125,0.475118,0.556983,0.114489,7.90476,2710.152986,0.0,0.044256,0.006228,0.335076,0.335076
exact_offset_passkey,317,phasewrap_adapter,phasewrap_adapter,4,2,4,7,1.0,1.0,0.0,8.0,8.0,"{'row_count': 2.0, 'loss': 2.460175, 'perplexity': 11.706854, 'top1_accuracy': 0.5, 'mrr': 0.53125, 'mean_target_probability': 0.475118, 'mean_top1_confidence': 0.556983, 'expected_calibration_error': 0.114489}",3.159229,23.552436,0.5,0.530833,0.501645,0.68818,0.188317,2.460175,11.706854,0.5,0.53125,0.475118,0.556983,0.114489,7.90476,2710.152986,0.0,0.044256,0.006228,0.335076,0.335076
tiny_text_fact_qa,317,no_position,no_position,4,2,4,7,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 1.485207, 'perplexity': 4.41588, 'top1_accuracy': 0.5, 'mrr': 0.583333, 'mean_target_probability': 0.525641, 'mean_top1_confidence': 0.525641, 'expected_calibration_error': 0.025641}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.485207,4.41588,0.5,0.583333,0.525641,0.525641,0.025641,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,317,sinusoidal,sinusoidal,4,2,4,7,1.0,1.0,12.0,12.0,0.0,"{'row_count': 2.0, 'loss': 0.016849, 'perplexity': 1.016992, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.983431, 'mean_top1_confidence': 0.983431, 'expected_calibration_error': 0.016569}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.016849,1.016992,1.0,1.0,0.983431,0.983431,0.016569,5e-06,1.000005,1.0,1.0,0.999995,0.999995,5e-06
tiny_text_fact_qa,317,alibi,alibi,4,2,4,7,1.0,1.0,1.0,24.0,0.0,"{'row_count': 2.0, 'loss': 1.434317, 'perplexity': 4.196776, 'top1_accuracy': 0.5, 'mrr': 0.625, 'mean_target_probability': 0.528388, 'mean_top1_confidence': 0.534372, 'expected_calibration_error': 0.034372}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.434317,4.196776,0.5,0.625,0.528388,0.534372,0.034372,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,317,rope_relative,rope,4,2,4,7,1.0,1.0,12.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.574422, 'perplexity': 1.776103, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.658502, 'mean_top1_confidence': 0.658502, 'expected_calibration_error': 0.341498}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.574422,1.776103,1.0,1.0,0.658502,0.658502,0.341498,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,317,phasewrap_bias,phasewrap_bias,4,2,4,7,1.0,1.0,8.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.732505, 'perplexity': 2.080285, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.601879, 'mean_top1_confidence': 0.601879, 'expected_calibration_error': 0.398121}",0.024543,1.024846,1.0,1.0,0.975756,0.975756,0.024244,0.732505,2.080285,1.0,1.0,0.601879,0.601879,0.398121,0.054379,1.055885,1.0,1.0,0.947089,0.947089,0.052911
tiny_text_fact_qa,317,phasewrap_adapter,phasewrap_adapter,4,2,4,7,1.0,1.0,8.0,24.0,0.0,"{'row_count': 2.0, 'loss': 0.637055, 'perplexity': 1.890904, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.631433, 'mean_top1_confidence': 0.631433, 'expected_calibration_error': 0.368567}",0.017264,1.017414,1.0,1.0,0.982885,0.982885,0.017115,0.637055,1.890904,1.0,1.0,0.631433,0.631433,0.368567,0.034498,1.0351,1.0,1.0,0.966101,0.966101,0.033899
phase_cued_retrieval,331,no_position,no_position,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.706484, 'perplexity': 2.026853, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.493936, 'mean_top1_confidence': 0.493936, 'expected_calibration_error': 0.506064}",0.071506,1.074125,1.0,1.0,0.933899,0.933899,0.066101,0.706484,2.026853,1.0,1.0,0.493936,0.493936,0.506064,0.744807,2.106034,1.0,1.0,0.51112,0.51112,0.48888
phase_cued_retrieval,331,sinusoidal,sinusoidal,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.706484, 'perplexity': 2.026853, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.493936, 'mean_top1_confidence': 0.493936, 'expected_calibration_error': 0.506064}",0.071506,1.074125,1.0,1.0,0.933899,0.933899,0.066101,0.706484,2.026853,1.0,1.0,0.493936,0.493936,0.506064,0.744807,2.106034,1.0,1.0,0.51112,0.51112,0.48888
phase_cued_retrieval,331,alibi,alibi,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.706484, 'perplexity': 2.026853, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.493936, 'mean_top1_confidence': 0.493936, 'expected_calibration_error': 0.506064}",0.071506,1.074125,1.0,1.0,0.933899,0.933899,0.066101,0.706484,2.026853,1.0,1.0,0.493936,0.493936,0.506064,0.744807,2.106034,1.0,1.0,0.51112,0.51112,0.48888
phase_cued_retrieval,331,rope_relative,rope,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.706484, 'perplexity': 2.026853, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.493936, 'mean_top1_confidence': 0.493936, 'expected_calibration_error': 0.506064}",0.071506,1.074125,1.0,1.0,0.933899,0.933899,0.066101,0.706484,2.026853,1.0,1.0,0.493936,0.493936,0.506064,0.744807,2.106034,1.0,1.0,0.51112,0.51112,0.48888
phase_cued_retrieval,331,phasewrap_bias,phasewrap_bias,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.706484, 'perplexity': 2.026853, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.493936, 'mean_top1_confidence': 0.493936, 'expected_calibration_error': 0.506064}",0.071506,1.074125,1.0,1.0,0.933899,0.933899,0.066101,0.706484,2.026853,1.0,1.0,0.493936,0.493936,0.506064,0.744807,2.106034,1.0,1.0,0.51112,0.51112,0.48888
phase_cued_retrieval,331,phasewrap_adapter,phasewrap_adapter,4,2,4,7,1.0,1.0,0.0,4.0,8.0,"{'row_count': 2.0, 'loss': 0.706484, 'perplexity': 2.026853, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.493936, 'mean_top1_confidence': 0.493936, 'expected_calibration_error': 0.506064}",0.071506,1.074125,1.0,1.0,0.933899,0.933899,0.066101,0.706484,2.026853,1.0,1.0,0.493936,0.493936,0.506064,0.744807,2.106034,1.0,1.0,0.51112,0.51112,0.48888
exact_offset_passkey,331,no_position,no_position,4,2,4,7,1.0,1.0,0.0,24.0,2.0,"{'row_count': 2.0, 'loss': 13.815511, 'perplexity': 1000000.000146, 'top1_accuracy': 0.5, 'mrr': 0.583333, 'mean_target_probability': 0.5, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.5}",6.248018,516.987206,0.25,0.306319,0.250187,0.487774,0.237774,13.815511,1000000.000146,0.5,0.583333,0.5,1.0,0.5,20.723266,1000000000.273608,0.25,0.289138,0.25,1.0,0.75
exact_offset_passkey,331,sinusoidal,sinusoidal,4,2,4,7,1.0,1.0,12.0,2.0,8.0,"{'row_count': 2.0, 'loss': 0.019477, 'perplexity': 1.019668, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.980815, 'mean_top1_confidence': 0.980815, 'expected_calibration_error': 0.019185}",0.030681,1.031156,1.0,1.0,0.969947,0.969947,0.030053,0.019477,1.019668,1.0,1.0,0.980815,0.980815,0.019185,1.79018,5.990534,0.5,0.708333,0.553753,0.861042,0.361042
exact_offset_passkey,331,alibi,alibi,4,2,4,7,1.0,1.0,0.0,24.0,2.0,"{'row_count': 2.0, 'loss': 13.815511, 'perplexity': 1000000.000146, 'top1_accuracy': 0.5, 'mrr': 0.583333, 'mean_target_probability': 0.5, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.5}",6.248018,516.987206,0.25,0.306319,0.250187,0.487774,0.237774,13.815511,1000000.000146,0.5,0.583333,0.5,1.0,0.5,20.723266,1000000000.273608,0.25,0.289138,0.25,1.0,0.75
exact_offset_passkey,331,rope_relative,rope,4,2,4,7,1.0,1.0,12.0,4.0,4.0,"{'row_count': 2.0, 'loss': 0.63666, 'perplexity': 1.890157, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.638498, 'mean_top1_confidence': 0.638498, 'expected_calibration_error': 0.361502}",1.076301,2.933807,0.5,0.75,0.431989,0.50648,0.198327,0.63666,1.890157,1.0,1.0,0.638498,0.638498,0.361502,1.526621,4.602599,0.25,0.479167,0.349525,0.436494,0.188694
exact_offset_passkey,331,phasewrap_bias,phasewrap_bias,4,2,4,7,1.0,1.0,0.0,24.0,2.0,"{'row_count': 2.0, 'loss': 13.815511, 'perplexity': 1000000.000146, 'top1_accuracy': 0.5, 'mrr': 0.583333, 'mean_target_probability': 0.5, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.5}",6.248018,516.987206,0.25,0.306319,0.250187,0.487774,0.237774,13.815511,1000000.000146,0.5,0.583333,0.5,1.0,0.5,20.723266,1000000000.273608,0.25,0.289138,0.25,1.0,0.75
exact_offset_passkey,331,phasewrap_adapter,phasewrap_adapter,4,2,4,7,1.0,1.0,0.0,24.0,2.0,"{'row_count': 2.0, 'loss': 13.815511, 'perplexity': 1000000.000146, 'top1_accuracy': 0.5, 'mrr': 0.583333, 'mean_target_probability': 0.5, 'mean_top1_confidence': 1.0, 'expected_calibration_error': 0.5}",6.248018,516.987206,0.25,0.306319,0.250187,0.487774,0.237774,13.815511,1000000.000146,0.5,0.583333,0.5,1.0,0.5,20.723266,1000000000.273608,0.25,0.289138,0.25,1.0,0.75
tiny_text_fact_qa,331,no_position,no_position,4,2,4,7,1.0,1.0,0.0,24.0,0.0,"{'row_count': 2.0, 'loss': 1.831781, 'perplexity': 6.244998, 'top1_accuracy': 0.5, 'mrr': 0.517857, 'mean_target_probability': 0.512821, 'mean_top1_confidence': 0.525641, 'expected_calibration_error': 0.025641}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.831781,6.244998,0.5,0.517857,0.512821,0.525641,0.025641,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,331,sinusoidal,sinusoidal,4,2,4,7,1.0,1.0,12.0,16.0,0.0,"{'row_count': 2.0, 'loss': 0.024302, 'perplexity': 1.024599, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.97628, 'mean_top1_confidence': 0.97628, 'expected_calibration_error': 0.02372}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.024302,1.024599,1.0,1.0,0.97628,0.97628,0.02372,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,331,alibi,alibi,4,2,4,7,1.0,1.0,0.5,24.0,0.0,"{'row_count': 2.0, 'loss': 1.913898, 'perplexity': 6.779464, 'top1_accuracy': 0.5, 'mrr': 0.518519, 'mean_target_probability': 0.510879, 'mean_top1_confidence': 0.528906, 'expected_calibration_error': 0.028906}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.913898,6.779464,0.5,0.518519,0.510879,0.528906,0.028906,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,331,rope_relative,rope,4,2,4,7,1.0,1.0,12.0,16.0,0.0,"{'row_count': 2.0, 'loss': 0.587243, 'perplexity': 1.799021, 'top1_accuracy': 1.0, 'mrr': 1.0, 'mean_target_probability': 0.654489, 'mean_top1_confidence': 0.654489, 'expected_calibration_error': 0.345511}",0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.587243,1.799021,1.0,1.0,0.654489,0.654489,0.345511,0.0,1.0,1.0,1.0,1.0,1.0,0.0
tiny_text_fact_qa,331,phasewrap_bias,phasewrap_bias,4,2,4,7,1.0,1.0,8.0,24.0,0.0,"{'row_count': 2.0, 'loss': 10.517338, 'perplexity': 36950.621279, 'top1_accuracy': 0.5, 'mrr': 0.522727, 'mean_target_probability': 0.482035, 'mean_top1_confidence': 0.571919, 'expected_calibration_error': 0.107849}",0.025331,1.025655,1.0,1.0,0.975014,0.975014,0.024986,10.517338,36950.621279,0.5,0.522727,0.482035,0.571919,0.107849,0.052243,1.053631,1.0,1.0,0.949134,0.949134,0.050866
tiny_text_fact_qa,331,phasewrap_adapter,phasewrap_adapter,4,2,4,7,1.0,1.0,4.0,24.0,0.0,"{'row_count': 2.0, 'loss': 5.59533, 'perplexity': 269.166384, 'top1_accuracy': 0.5, 'mrr': 0.52381, 'mean_target_probability': 0.500006, 'mean_top1_confidence': 0.593385, 'expected_calibration_error': 0.093387}",2e-06,1.000002,1.0,1.0,0.999998,0.999998,2e-06,5.59533,269.166384,0.5,0.52381,0.500006,0.593385,0.093387,3e-06,1.000003,1.0,1.0,0.999997,0.999997,3e-06
