task,seed,method,stage10_method_alias,epochs,learning_rate,optimizer,training_tasks,task_train_row_count,multitask_train_row_count,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate
tiny_text_fact_qa,317,sinusoidal,sinusoidal,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.168028,2.402973,0.961641,0.058732,1.060491,1.0,1.0,0.943585,0.943585,0.056415,0.961641,8.620596,5544.68843,0.0,0.158532,0.000899,0.96161,0.96161,0.961641,6.564289,709.307197,0.25,0.372652,0.239573,0.960472,0.710472,0.961641
phase_cued_retrieval,317,alibi,alibi,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.545216,-0.516165,0.923804,0.693473,2.000652,0.75,0.875,0.659383,0.741974,0.173219,0.923804,10.488517,35900.873654,0.166667,0.220038,0.154075,0.921336,0.75467,0.923804,12.991072,438481.287802,0.0,0.025441,0.001286,0.857932,0.857932,0.923804
exact_offset_passkey,317,alibi,alibi,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.545216,-0.516165,0.923804,0.769479,2.158641,0.666667,0.798611,0.65164,0.810635,0.186076,0.923804,12.058391,172541.210947,0.0,0.031303,0.001653,0.855655,0.855655,0.923804,11.23257,75551.541548,0.083333,0.118469,0.079438,0.836629,0.753296,0.923804
tiny_text_fact_qa,317,alibi,alibi,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.545216,-0.516165,0.923804,0.187373,1.206077,0.916667,0.958333,0.850245,0.851237,0.141919,0.923804,11.742866,125852.543378,0.0,0.153439,2.8e-05,0.923784,0.923784,0.923804,9.428563,12438.645607,0.25,0.341637,0.229942,0.922794,0.672794,0.923804
phase_cued_retrieval,317,rope_relative,rope,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.377643,2.582459,0.958659,0.493018,1.637249,0.916667,0.933333,0.703529,0.712077,0.237238,0.958659,11.074372,64496.889243,0.166667,0.218971,0.066603,0.832483,0.869802,0.958659,13.870752,1056796.156814,0.0,0.02468,0.001341,0.725453,0.725453,0.958659
exact_offset_passkey,317,rope_relative,rope,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.377643,2.582459,0.958659,0.532668,1.703472,0.916667,0.944444,0.695755,0.706728,0.263134,0.958659,10.877585,52975.515398,0.0,0.08882,0.009477,0.80722,0.80722,0.958659,11.440619,93024.612252,0.083333,0.118986,0.080649,0.879895,0.796562,0.958659
tiny_text_fact_qa,317,rope_relative,rope,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.377643,2.582459,0.958659,0.112687,1.119281,1.0,1.0,0.901417,0.901417,0.098583,0.958659,11.832025,137588.792224,0.0,0.10205,8e-06,0.958662,0.958662,0.958659,8.864608,7077.020326,0.25,0.329481,0.237512,0.956503,0.706503,0.958659
phase_cued_retrieval,317,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.652567,-0.042986,0.924144,0.777218,2.175412,0.833333,0.875,0.702083,0.812046,0.255295,0.924144,9.927157,20479.037644,0.166667,0.181243,0.149292,0.847665,0.680998,0.924144,12.334983,227517.564344,0.0,0.023856,0.000627,0.850086,0.850086,0.924144
exact_offset_passkey,317,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.652567,-0.042986,0.924144,1.102161,3.010666,0.5,0.669444,0.514441,0.648486,0.187121,0.924144,11.832452,137647.563087,0.0,0.020971,8.4e-05,0.882829,0.882829,0.924144,11.232175,75521.683621,0.0,0.030293,0.002191,0.793988,0.793988,0.924144
tiny_text_fact_qa,317,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.652567,-0.042986,0.924144,0.178687,1.195646,1.0,1.0,0.853425,0.853425,0.146575,0.924144,9.786025,17783.468662,0.0,0.106269,6.3e-05,0.923746,0.923746,0.924144,7.854636,2577.657855,0.166667,0.266515,0.154226,0.923188,0.756521,0.924144
phase_cued_retrieval,317,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.618544,-0.017144,0.924633,0.618056,1.855319,0.833333,0.891667,0.701757,0.732723,0.241712,0.924633,9.509315,13484.751692,0.166667,0.204489,0.109135,0.807989,0.641323,0.924633,11.582423,107196.939754,0.0,0.032319,0.001073,0.825726,0.825726,0.924633
exact_offset_passkey,317,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.618544,-0.017144,0.924633,1.050503,2.859088,0.583333,0.725,0.529646,0.634972,0.222133,0.924633,11.391688,88582.401659,0.0,0.031356,0.000838,0.8201,0.8201,0.924633,11.565328,105379.991825,0.0,0.029364,0.002304,0.826024,0.826024,0.924633
tiny_text_fact_qa,317,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.618544,-0.017144,0.924633,0.1999,1.22128,1.0,1.0,0.842869,0.842869,0.157131,0.924633,9.969563,21366.149347,0.0,0.119837,7.9e-05,0.923876,0.923876,0.924633,7.900121,2697.609195,0.166667,0.277483,0.155429,0.917736,0.751069,0.924633
phase_cued_retrieval,331,no_position,no_position,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.883353,1.0,0.932475,1.06867,2.911506,0.583333,0.738889,0.533778,0.570339,0.171436,0.932475,15.502125,5401164.025447,0.0,0.026462,5e-06,0.661586,0.661586,0.932475,13.27427,582025.485997,0.0,0.046642,0.006746,0.638045,0.638045,0.932475
exact_offset_passkey,331,no_position,no_position,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.883353,1.0,0.932475,1.151511,3.162967,0.5,0.715278,0.402415,0.436258,0.35376,0.932475,11.068891,64144.300967,0.166667,0.185982,0.089219,0.661498,0.65331,0.932475,16.246932,11375041.229158,0.0,0.023424,0.001604,0.717846,0.717846,0.932475
tiny_text_fact_qa,331,no_position,no_position,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.883353,1.0,0.932475,0.447378,1.564205,0.916667,0.958333,0.752351,0.82493,0.185663,0.932475,3.781431,43.878792,0.5,0.597222,0.413912,0.841947,0.490466,0.932475,3.152738,23.400053,0.333333,0.5625,0.3528,0.769042,0.524152,0.932475
phase_cued_retrieval,331,sinusoidal,sinusoidal,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.272904,2.702856,0.961148,0.416099,1.516036,1.0,1.0,0.698375,0.698375,0.301625,0.961148,12.592702,294402.107689,0.0,0.055398,0.008081,0.425699,0.425699,0.961148,12.712388,331833.241864,0.0,0.049505,0.012316,0.479849,0.479849,0.961148
exact_offset_passkey,331,sinusoidal,sinusoidal,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.272904,2.702856,0.961148,0.263886,1.301979,1.0,1.0,0.780047,0.780047,0.219953,0.961148,10.754909,46859.492193,0.166667,0.21033,0.101165,0.54615,0.379483,0.961148,14.942105,3085132.543424,0.0,0.02933,1.4e-05,0.499018,0.499018,0.961148
tiny_text_fact_qa,331,sinusoidal,sinusoidal,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.272904,2.702856,0.961148,0.128209,1.13679,1.0,1.0,0.881908,0.881908,0.118092,0.961148,0.274499,1.315872,0.833333,0.916667,0.785729,0.790667,0.189898,0.961148,0.348907,1.417517,1.0,1.0,0.723597,0.723597,0.276403,0.961148
phase_cued_retrieval,331,alibi,alibi,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.863608,-0.784146,0.937685,1.031609,2.805576,0.666667,0.773611,0.541447,0.583381,0.181243,0.937685,16.166039,10491116.450364,0.0,0.02595,3e-06,0.686827,0.686827,0.937685,13.521442,745225.285244,0.0,0.057633,0.009533,0.620052,0.620052,0.937685
exact_offset_passkey,331,alibi,alibi,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.863608,-0.784146,0.937685,1.108624,3.030187,0.666667,0.794444,0.42751,0.458327,0.248932,0.937685,10.2438,28107.721686,0.333333,0.345592,0.140912,0.618553,0.589152,0.937685,16.391719,13147195.074972,0.0,0.026877,0.003622,0.722933,0.722933,0.937685
tiny_text_fact_qa,331,alibi,alibi,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.863608,-0.784146,0.937685,0.44151,1.555053,0.833333,0.916667,0.755786,0.830538,0.089306,0.937685,4.019138,55.653094,0.333333,0.553571,0.400217,0.824479,0.491145,0.937685,3.421982,30.630078,0.333333,0.566766,0.341715,0.776123,0.542709,0.937685
phase_cued_retrieval,331,rope_relative,rope,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.669656,2.974772,0.955655,0.888172,2.430683,0.666667,0.805556,0.500689,0.51601,0.232825,0.955655,13.816794,1001284.746679,0.0,0.111846,0.017959,0.505226,0.505226,0.955655,13.932063,1123615.899555,0.0,0.034649,0.005064,0.505735,0.505735,0.955655
exact_offset_passkey,331,rope_relative,rope,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.669656,2.974772,0.955655,0.7814,2.184529,1.0,1.0,0.508476,0.508476,0.491524,0.955655,12.893148,397578.575319,0.166667,0.183419,0.076895,0.513802,0.365941,0.955655,17.870628,57691963.035619,0.0,0.018037,1e-06,0.427323,0.427323,0.955655
tiny_text_fact_qa,331,rope_relative,rope,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.669656,2.974772,0.955655,0.324659,1.383558,0.916667,0.944444,0.769441,0.802105,0.140904,0.955655,1.107217,3.025925,0.5,0.722222,0.476554,0.719441,0.411818,0.955655,1.100804,3.006581,0.75,0.808333,0.46135,0.536076,0.399097,0.955655
phase_cued_retrieval,331,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.88148,-0.253523,0.955268,1.006337,2.735562,0.666667,0.738194,0.572098,0.606064,0.180114,0.955268,11.337866,83940.748811,0.0,0.062099,0.011725,0.619623,0.619623,0.955268,11.325102,82876.089622,0.0,0.042245,0.005296,0.699914,0.699914,0.955268
exact_offset_passkey,331,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.88148,-0.253523,0.955268,1.121395,3.069134,0.583333,0.75,0.428933,0.498717,0.208925,0.955268,8.605549,5461.881375,0.0,0.147869,0.033638,0.667097,0.667097,0.955268,14.473409,1930730.074541,0.0,0.028612,0.002077,0.63176,0.63176,0.955268
tiny_text_fact_qa,331,phasewrap_bias,phasewrap_bias,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.88148,-0.253523,0.955268,0.477744,1.612433,0.833333,0.916667,0.757489,0.844001,0.16417,0.955268,2.951599,19.136532,0.5,0.652778,0.412523,0.866723,0.518574,0.955268,2.882996,17.867731,0.5,0.660516,0.393524,0.762785,0.36436,0.955268
phase_cued_retrieval,331,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.876812,-0.198367,0.955438,0.976586,2.655376,0.666667,0.738194,0.585888,0.607697,0.158942,0.955438,11.766437,128854.198638,0.0,0.075058,0.010432,0.636413,0.636413,0.955438,11.965504,157236.063592,0.0,0.038758,0.003814,0.723853,0.723853,0.955438
exact_offset_passkey,331,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.876812,-0.198367,0.955438,1.136112,3.114636,0.416667,0.648611,0.429528,0.486517,0.195379,0.955438,9.243892,10341.208215,0.0,0.142557,0.019849,0.708136,0.708136,0.955438,14.83328,2767016.336654,0.0,0.029865,0.002849,0.651661,0.651661,0.955438
tiny_text_fact_qa,331,phasewrap_adapter,phasewrap_adapter,80,0.03,full_batch_adam,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']",12,36,12,6,12,0.876812,-0.198367,0.955438,0.47728,1.611685,0.833333,0.916667,0.756393,0.841445,0.165697,0.955438,3.324635,27.788866,0.5,0.652778,0.415256,0.871423,0.518136,0.955438,2.93308,18.785402,0.5,0.646627,0.392671,0.76752,0.3925,0.955438
