task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_class_count,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,routing_position_weight_norm,routing_support_weight_norm,routing_distance_weight_norm,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,331,alibi,alibi,12,6,12,7,1.0,0.343682,1.744891,0.252446,0.343682,1.744891,0.252446,0.117902,1.125134,0.916667,0.958333,0.915057,0.918624,0.003866,0.635688,1.888321,0.166667,0.583333,0.555238,0.610162,0.444054,0.925118,2.522166,0.0,0.5,0.400149,0.517213,0.517213
exact_offset_passkey,331,alibi,alibi,12,6,12,7,1.0,0.343682,1.744891,0.252446,0.343682,1.744891,0.252446,3.051805,21.153488,0.25,0.33634,0.221041,0.398736,0.237888,3.715854,41.093663,0.333333,0.386988,0.333544,0.661689,0.328355,4.139051,62.743277,0.166667,0.237242,0.105334,0.370335,0.335664
tiny_text_fact_qa,331,alibi,alibi,12,6,12,7,1.0,0.343682,1.744891,0.252446,0.343682,1.744891,0.252446,0.324809,1.383766,1.0,1.0,0.725045,0.725045,0.274955,1.063517,2.896539,0.833333,0.840278,0.521963,0.531154,0.326805,0.771833,2.163729,0.916667,0.933333,0.534457,0.53543,0.390403
phase_cued_retrieval,331,rope_relative,rope,12,6,12,7,1.0,0.775994,2.020775,0.2556,0.775994,2.020775,0.2556,0.117959,1.125198,0.916667,0.958333,0.915022,0.919516,0.004949,0.631555,1.880533,0.166667,0.583333,0.557076,0.608101,0.442082,0.904799,2.471435,0.0,0.5,0.409377,0.490432,0.490432
exact_offset_passkey,331,rope_relative,rope,12,6,12,7,1.0,0.775994,2.020775,0.2556,0.775994,2.020775,0.2556,2.129782,8.413035,0.5,0.675,0.260703,0.390364,0.345764,2.260909,9.591808,0.5,0.652778,0.358856,0.589986,0.377657,2.566175,13.015942,0.25,0.502778,0.180228,0.32098,0.245929
tiny_text_fact_qa,331,rope_relative,rope,12,6,12,7,1.0,0.775994,2.020775,0.2556,0.775994,2.020775,0.2556,0.211838,1.235948,1.0,1.0,0.809663,0.809663,0.190337,0.668266,1.950851,1.0,1.0,0.646497,0.646497,0.353503,0.457175,1.579606,1.0,1.0,0.689157,0.689157,0.310843
phase_cued_retrieval,331,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,1.072677,1.988814,3.480063,1.072677,1.988814,3.480063,0.096742,1.101577,1.0,1.0,0.926667,0.926667,0.073333,0.605545,1.832251,0.666667,0.833333,0.578698,0.658184,0.304089,0.980454,2.665665,0.5,0.75,0.407816,0.593822,0.401083
exact_offset_passkey,331,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,1.072677,1.988814,3.480063,1.072677,1.988814,3.480063,2.856134,17.394147,0.25,0.316863,0.231449,0.398439,0.237992,3.8784,48.346778,0.333333,0.409804,0.338106,0.675812,0.342479,4.138949,62.736831,0.166667,0.247676,0.111798,0.442914,0.402481
tiny_text_fact_qa,331,phasewrap_bias,phasewrap_bias,12,6,12,7,1.0,1.072677,1.988814,3.480063,1.072677,1.988814,3.480063,0.293023,1.340473,1.0,1.0,0.747596,0.747596,0.252404,0.932179,2.540038,0.833333,0.842593,0.557626,0.566821,0.294585,0.6946,2.002907,1.0,1.0,0.559657,0.559657,0.440343
phase_cued_retrieval,331,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,1.017172,1.953661,1.726485,1.017172,1.953661,1.726485,0.105602,1.111379,0.916667,0.958333,0.921766,0.922581,0.00698,0.612941,1.845852,0.5,0.75,0.568881,0.62598,0.126245,0.978385,2.660157,0.416667,0.708333,0.396923,0.575381,0.439948
exact_offset_passkey,331,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,1.017172,1.953661,1.726485,1.017172,1.953661,1.726485,2.955138,19.20437,0.25,0.312847,0.227134,0.393189,0.233048,3.855187,47.237449,0.333333,0.408041,0.335562,0.673481,0.340148,4.119931,61.555008,0.166667,0.244849,0.110215,0.411977,0.370434
tiny_text_fact_qa,331,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,1.017172,1.953661,1.726485,1.017172,1.953661,1.726485,0.308154,1.360911,1.0,1.0,0.736806,0.736806,0.263194,0.966852,2.629652,0.833333,0.841667,0.546092,0.553786,0.30366,0.719395,2.053191,0.916667,0.958333,0.550182,0.550369,0.376199
