task,seed,method,stage10_method_alias,epochs,learning_rate,support_aux_weight,target_attention_aux_weight,teacher_distillation_weight,optimizer,training_tasks,support_classes,task_train_row_count,multitask_train_row_count,train_row_count,validation_row_count,test_row_count,final_training_loss,learned_position_scale,learned_copy_gate,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,train_mean_copy_gate,train_support_accuracy,train_mean_target_attention,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,validation_mean_copy_gate,validation_support_accuracy,validation_mean_target_attention,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error,test_mean_copy_gate,test_support_accuracy,test_mean_target_attention
tiny_text_fact_qa,313,alibi,alibi,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.459554,0.799507,0.857622,3.090656,21.991494,0.166667,0.282113,0.047429,0.091364,0.121883,0.857622,1.0,0.040014,3.491555,32.836982,0.0,0.106393,0.031623,0.061889,0.061889,0.857622,1.0,0.027987,3.742238,42.192315,0.0,0.116738,0.024849,0.05599,0.05599,0.857622,1.0,0.019713
phase_cued_retrieval,313,rope_relative,rope,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.876253,1.299762,0.857688,2.781646,16.145571,0.5,0.653409,0.067509,0.085151,0.414849,0.857688,1.0,0.064278,3.518971,33.749697,0.0,0.133871,0.031673,0.065013,0.065013,0.857688,0.5,0.027816,3.910387,49.91828,0.0,0.100119,0.022334,0.051378,0.051378,0.857688,0.5,0.01546
exact_offset_passkey,313,rope_relative,rope,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.876253,1.299762,0.857688,2.716814,15.13204,0.5,0.711111,0.067526,0.076526,0.423474,0.857688,1.0,0.067387,3.027875,20.653288,0.166667,0.423611,0.050629,0.065128,0.101539,0.857688,1.0,0.043419,3.400198,29.970024,0.25,0.407507,0.034573,0.052425,0.197575,0.857688,1.0,0.029014
tiny_text_fact_qa,313,rope_relative,rope,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.876253,1.299762,0.857688,2.777533,16.07931,0.166667,0.383333,0.064343,0.090159,0.076508,0.857688,1.0,0.05711,3.121738,22.685781,0.166667,0.317063,0.044816,0.06217,0.104497,0.857688,1.0,0.041094,3.358513,28.746406,0.083333,0.240906,0.035803,0.055301,0.028033,0.857688,1.0,0.030849
phase_cued_retrieval,313,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,7.192888,0.702761,0.857744,3.593551,36.362955,0.083333,0.161945,0.037156,0.120155,0.036821,0.857744,0.916667,0.023944,4.018446,55.614589,0.0,0.097282,0.022922,0.089072,0.089072,0.857744,0.5,0.013372,4.334967,76.322461,0.0,0.048331,0.014639,0.081256,0.081256,0.857744,0.583333,0.009388
exact_offset_passkey,313,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,7.192888,0.702761,0.857744,3.545616,34.661047,0.0,0.131712,0.034307,0.113165,0.113165,0.857744,1.0,0.023638,3.969774,52.972573,0.0,0.068003,0.021712,0.086717,0.086717,0.857744,1.0,0.013784,4.262026,70.953594,0.0,0.051176,0.015655,0.065974,0.065974,0.857744,1.0,0.009636
tiny_text_fact_qa,313,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,7.192888,0.702761,0.857744,3.577258,35.7753,0.0,0.099174,0.029091,0.11864,0.11864,0.857744,1.0,0.022481,3.96578,52.761421,0.0,0.069376,0.019672,0.096907,0.096907,0.857744,1.0,0.014755,4.108126,60.832587,0.083333,0.12812,0.020128,0.068498,0.014836,0.857744,1.0,0.010984
phase_cued_retrieval,313,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,7.138801,0.702934,0.857736,3.57045,35.532584,0.083333,0.164901,0.03771,0.118578,0.035245,0.857736,0.916667,0.024782,4.037071,56.660124,0.0,0.081135,0.022717,0.089054,0.089054,0.857736,0.5,0.01298,4.379435,79.792929,0.0,0.045225,0.014072,0.084244,0.084244,0.857736,0.583333,0.008914
exact_offset_passkey,313,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,7.138801,0.702934,0.857736,3.5338,34.253887,0.0,0.133929,0.034207,0.109628,0.109628,0.857736,1.0,0.024475,3.936693,51.248853,0.0,0.073677,0.022403,0.08645,0.08645,0.857736,1.0,0.014596,4.22925,68.665683,0.0,0.052397,0.016032,0.066646,0.066646,0.857736,1.0,0.010165
tiny_text_fact_qa,313,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,7.138801,0.702934,0.857736,3.516602,33.669836,0.0,0.100166,0.030881,0.11898,0.11898,0.857736,1.0,0.023791,3.904716,49.635974,0.0,0.070046,0.020837,0.097718,0.097718,0.857736,1.0,0.01576,4.046651,57.205571,0.083333,0.128939,0.021164,0.069246,0.031014,0.857736,1.0,0.011703
phase_cued_retrieval,317,no_position,no_position,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.194419,1.0,0.857712,2.95087,19.122592,0.166667,0.41875,0.056007,0.078045,0.088622,0.857712,1.0,0.050395,3.629892,37.708728,0.0,0.09286,0.028954,0.058402,0.058402,0.857712,1.0,0.024624,3.765731,43.195277,0.166667,0.268578,0.026668,0.051998,0.114669,0.857712,0.916667,0.019165
exact_offset_passkey,317,no_position,no_position,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.194419,1.0,0.857712,2.899634,18.1675,0.166667,0.341827,0.061325,0.082965,0.083702,0.857712,1.0,0.051397,3.544205,34.612161,0.0,0.144985,0.031083,0.059494,0.059494,0.857712,1.0,0.023882,3.849426,46.966099,0.0,0.108932,0.022636,0.056352,0.056352,0.857712,1.0,0.019273
tiny_text_fact_qa,317,no_position,no_position,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.194419,1.0,0.857712,2.361389,10.605675,0.416667,0.673611,0.096767,0.108553,0.308113,0.857712,1.0,0.070539,2.708679,15.009438,0.333333,0.538889,0.073772,0.089303,0.244031,0.857712,1.0,0.043319,3.182617,24.10977,0.166667,0.33912,0.047373,0.078236,0.088431,0.857712,1.0,0.029772
phase_cued_retrieval,317,sinusoidal,sinusoidal,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.287037,1.299131,0.857823,2.085403,8.047836,0.916667,0.9375,0.130662,0.133038,0.783629,0.857823,1.0,0.137137,3.146004,23.243006,0.333333,0.452652,0.052858,0.087518,0.279386,0.857823,0.833333,0.04114,3.582726,35.971477,0.166667,0.255411,0.031395,0.068614,0.117911,0.857823,1.0,0.02541
exact_offset_passkey,317,sinusoidal,sinusoidal,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.287037,1.299131,0.857823,1.83745,6.280501,1.0,1.0,0.165519,0.165519,0.834481,0.857823,1.0,0.161911,2.59472,13.392841,0.666667,0.833333,0.075547,0.07933,0.587336,0.857823,1.0,0.081487,2.830136,16.947758,0.5,0.701389,0.060513,0.070715,0.429285,0.857823,1.0,0.062571
tiny_text_fact_qa,317,sinusoidal,sinusoidal,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.287037,1.299131,0.857823,1.472783,4.361356,1.0,1.0,0.231966,0.231966,0.768034,0.857823,1.0,0.199349,1.854974,6.391534,1.0,1.0,0.15867,0.15867,0.84133,0.857823,1.0,0.132655,2.145896,8.549695,1.0,1.0,0.118957,0.118957,0.881043,0.857823,1.0,0.099287
phase_cued_retrieval,317,alibi,alibi,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.07163,1.248332,0.857697,2.93205,18.766056,0.0,0.269478,0.056076,0.092411,0.092411,0.857697,0.916667,0.050594,3.813583,45.312506,0.0,0.093534,0.02528,0.084691,0.084691,0.857697,0.666667,0.017564,4.294267,73.278483,0.0,0.083713,0.016195,0.058693,0.058693,0.857697,0.666667,0.011396
exact_offset_passkey,317,alibi,alibi,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.07163,1.248332,0.857697,2.902504,18.219708,0.25,0.362813,0.064599,0.103966,0.146034,0.857697,1.0,0.052003,3.506796,33.341278,0.166667,0.236174,0.039614,0.079701,0.208323,0.857697,1.0,0.029202,3.910199,49.908859,0.0,0.071448,0.021457,0.064928,0.064928,0.857697,1.0,0.018403
tiny_text_fact_qa,317,alibi,alibi,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.07163,1.248332,0.857697,2.35866,10.576764,0.333333,0.581349,0.10183,0.143876,0.225548,0.857697,1.0,0.071054,2.772711,16.001954,0.333333,0.438161,0.076124,0.112265,0.275613,0.857697,1.0,0.03977,3.103747,22.281278,0.25,0.346858,0.051844,0.084102,0.165898,0.857697,1.0,0.030251
phase_cued_retrieval,317,rope_relative,rope,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.545309,1.299594,0.857762,2.684565,14.65183,0.416667,0.601389,0.074883,0.090018,0.326649,0.857762,1.0,0.069494,3.562626,35.255666,0.166667,0.235853,0.031425,0.074308,0.131507,0.857762,0.666667,0.024966,3.929783,50.895914,0.083333,0.182655,0.023154,0.055729,0.027604,0.857762,0.916667,0.016743
exact_offset_passkey,317,rope_relative,rope,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.545309,1.299594,0.857762,2.480771,11.95047,0.416667,0.586111,0.095968,0.111239,0.368947,0.857762,1.0,0.079518,3.284752,26.702359,0.0,0.230423,0.038263,0.070288,0.070288,0.857762,1.0,0.036448,3.517238,33.691236,0.0,0.191843,0.030799,0.057452,0.057452,0.857762,1.0,0.029205
tiny_text_fact_qa,317,rope_relative,rope,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.545309,1.299594,0.857762,1.948707,7.019605,0.75,0.875,0.14608,0.156049,0.593951,0.857762,1.0,0.108999,2.282312,9.799315,0.5,0.722222,0.110078,0.114175,0.385825,0.857762,1.0,0.069963,2.636023,13.957579,0.333333,0.597222,0.075994,0.09203,0.241303,0.857762,1.0,0.052975
phase_cued_retrieval,317,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.866603,0.703157,0.85783,3.345607,28.377782,0.083333,0.216475,0.043118,0.115287,0.061674,0.85783,0.833333,0.031307,4.370435,79.078032,0.0,0.044988,0.013755,0.093475,0.093475,0.85783,0.333333,0.011884,4.315887,74.879995,0.0,0.056573,0.016134,0.086471,0.086471,0.85783,0.583333,0.010008
exact_offset_passkey,317,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.866603,0.703157,0.85783,3.369289,29.057865,0.083333,0.210358,0.044004,0.12736,0.044026,0.85783,1.0,0.031623,4.146173,63.191686,0.0,0.06149,0.018037,0.103237,0.103237,0.85783,1.0,0.011641,4.332629,76.144201,0.0,0.054377,0.015389,0.078939,0.078939,0.85783,1.0,0.010602
tiny_text_fact_qa,317,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.866603,0.703157,0.85783,2.736337,15.430354,0.0,0.284722,0.06746,0.194567,0.194567,0.85783,1.0,0.044035,2.969118,19.474736,0.333333,0.399858,0.068877,0.152143,0.181191,0.85783,1.0,0.024029,3.441742,31.24134,0.166667,0.238588,0.045607,0.115881,0.103205,0.85783,1.0,0.017329
phase_cued_retrieval,317,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.770024,0.703455,0.857847,3.303213,27.199898,0.083333,0.214931,0.045825,0.121601,0.044003,0.857847,0.833333,0.033635,4.399056,81.374004,0.0,0.045902,0.013725,0.096639,0.096639,0.857847,0.333333,0.011443,4.364693,78.625292,0.0,0.056667,0.015505,0.089509,0.089509,0.857847,0.583333,0.009523
exact_offset_passkey,317,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.770024,0.703455,0.857847,3.285387,26.719314,0.166667,0.272204,0.049253,0.138009,0.077514,0.857847,1.0,0.034735,4.151698,63.541775,0.0,0.055661,0.017259,0.103737,0.103737,0.857847,1.0,0.01215,4.284444,72.562209,0.0,0.064734,0.016141,0.08107,0.08107,0.857847,1.0,0.011329
tiny_text_fact_qa,317,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.770024,0.703455,0.857847,2.691744,14.757395,0.0,0.323611,0.070955,0.196725,0.196725,0.857847,1.0,0.046965,2.93475,18.816795,0.333333,0.412963,0.072213,0.15658,0.176753,0.857847,1.0,0.025639,3.480721,32.483132,0.083333,0.182828,0.043205,0.123954,0.04062,0.857847,1.0,0.017471
phase_cued_retrieval,331,no_position,no_position,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.137351,1.0,0.857647,2.988999,19.865778,0.166667,0.346945,0.056896,0.091429,0.075238,0.857647,0.583333,0.048776,3.546427,34.689163,0.0,0.149063,0.030984,0.065495,0.065495,0.857647,0.666667,0.024335,4.022819,55.858369,0.0,0.060155,0.019119,0.057485,0.057485,0.857647,0.666667,0.018068
exact_offset_passkey,331,no_position,no_position,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.137351,1.0,0.857647,2.735576,15.418628,0.25,0.429167,0.075493,0.104839,0.24587,0.857647,1.0,0.052785,3.529123,34.094044,0.166667,0.243472,0.034506,0.067153,0.099514,0.857647,1.0,0.024082,4.136791,62.601628,0.0,0.055448,0.017173,0.0577,0.0577,0.857647,1.0,0.016957
tiny_text_fact_qa,331,no_position,no_position,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.137351,1.0,0.857647,2.152705,8.608113,0.416667,0.659722,0.121053,0.142753,0.290145,0.857647,1.0,0.085118,2.67589,14.525272,0.5,0.652778,0.069713,0.093628,0.49151,0.857647,1.0,0.055406,2.813496,16.66808,0.25,0.446627,0.065432,0.086114,0.163886,0.857647,1.0,0.037048
phase_cued_retrieval,331,sinusoidal,sinusoidal,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.329079,1.299344,0.857803,2.143516,8.52937,0.833333,0.891667,0.12514,0.129582,0.703751,0.857803,0.916667,0.131484,3.155983,23.476101,0.166667,0.342235,0.047271,0.080207,0.086459,0.857803,0.833333,0.039925,3.708426,40.789545,0.0,0.099615,0.025406,0.072944,0.072944,0.857803,0.916667,0.024533
exact_offset_passkey,331,sinusoidal,sinusoidal,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.329079,1.299344,0.857803,1.860238,6.425267,0.916667,0.958333,0.163504,0.164047,0.768559,0.857803,1.0,0.157722,2.530983,12.565846,1.0,1.0,0.080697,0.080697,0.919303,0.857803,1.0,0.083011,3.024081,20.575087,0.083333,0.424405,0.050092,0.071797,0.011536,0.857803,1.0,0.056528
tiny_text_fact_qa,331,sinusoidal,sinusoidal,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,4.329079,1.299344,0.857803,1.490572,4.439635,1.0,1.0,0.227953,0.227953,0.772047,0.857803,1.0,0.208515,1.866218,6.463804,1.0,1.0,0.155557,0.155557,0.844443,0.857803,1.0,0.148043,2.121327,8.342203,0.916667,0.958333,0.122068,0.126536,0.790131,0.857803,1.0,0.105084
phase_cued_retrieval,331,alibi,alibi,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.091589,1.015521,0.857649,3.031642,20.731252,0.166667,0.29288,0.051418,0.089033,0.120745,0.857649,0.833333,0.046646,3.69737,40.34105,0.0,0.094431,0.02693,0.05993,0.05993,0.857649,1.0,0.018605,4.261239,70.897739,0.0,0.049155,0.016106,0.060152,0.060152,0.857649,0.833333,0.013191
exact_offset_passkey,331,alibi,alibi,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.091589,1.015521,0.857649,2.758253,15.772271,0.25,0.415394,0.071792,0.105576,0.144424,0.857649,1.0,0.05328,3.509296,33.42472,0.166667,0.226216,0.0392,0.07289,0.201689,0.857649,1.0,0.026443,4.22421,68.32048,0.0,0.061976,0.016157,0.066051,0.066051,0.857649,1.0,0.015226
tiny_text_fact_qa,331,alibi,alibi,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.091589,1.015521,0.857649,2.350523,10.491054,0.416667,0.616667,0.10415,0.149998,0.280658,0.857649,1.0,0.074124,2.838404,17.088472,0.0,0.347222,0.058935,0.106626,0.106626,0.857649,1.0,0.050409,3.068698,21.513877,0.166667,0.357443,0.049357,0.085453,0.13473,0.857649,1.0,0.030202
phase_cued_retrieval,331,rope_relative,rope,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.550739,1.299695,0.857722,2.75677,15.748892,0.333333,0.533333,0.068642,0.094543,0.23879,0.857722,1.0,0.063572,3.483339,32.568282,0.0,0.164286,0.032685,0.058165,0.058165,0.857722,0.833333,0.025146,4.144386,63.078862,0.0,0.054808,0.017635,0.058931,0.058931,0.857722,0.916667,0.01572
exact_offset_passkey,331,rope_relative,rope,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.550739,1.299695,0.857722,2.382368,10.83052,0.583333,0.738889,0.099452,0.110912,0.472422,0.857722,1.0,0.077604,3.197302,24.466422,0.166667,0.334921,0.04651,0.068997,0.200398,0.857722,1.0,0.036937,3.760863,42.985493,0.0,0.105563,0.024163,0.05896,0.05896,0.857722,1.0,0.026134
tiny_text_fact_qa,331,rope_relative,rope,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,5.550739,1.299695,0.857722,2.033488,7.64069,0.583333,0.777778,0.136284,0.153549,0.429785,0.857722,1.0,0.105542,2.497844,12.156263,0.5,0.75,0.082996,0.101395,0.398605,0.857722,1.0,0.071404,2.648899,14.138459,0.5,0.708333,0.074137,0.084509,0.415491,0.857722,1.0,0.051198
phase_cued_retrieval,331,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.836655,0.703197,0.857761,3.487299,32.697515,0.083333,0.168303,0.042794,0.130146,0.051158,0.857761,0.916667,0.024903,4.177774,65.220497,0.0,0.051841,0.016239,0.084181,0.084181,0.857761,0.5,0.012291,4.586717,98.171618,0.0,0.036559,0.011095,0.081084,0.081084,0.857761,0.5,0.009182
exact_offset_passkey,331,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.836655,0.703197,0.857761,3.251845,25.837975,0.083333,0.191787,0.049007,0.139421,0.189362,0.857761,1.0,0.027673,3.846374,46.822977,0.166667,0.219019,0.026668,0.087347,0.155831,0.857761,1.0,0.014062,4.673732,107.096716,0.0,0.033394,0.009937,0.076541,0.076541,0.857761,1.0,0.009223
tiny_text_fact_qa,331,phasewrap_bias,phasewrap_bias,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.836655,0.703197,0.857761,2.8297,16.940371,0.083333,0.248545,0.070062,0.158654,0.086411,0.857761,1.0,0.040687,3.483345,32.568489,0.0,0.102525,0.030926,0.127369,0.127369,0.857761,1.0,0.025515,3.642697,38.194697,0.0,0.111322,0.027753,0.111634,0.111634,0.857761,1.0,0.016667
phase_cued_retrieval,331,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.777936,0.70341,0.857756,3.456605,31.70914,0.083333,0.17333,0.044171,0.131107,0.144767,0.857756,0.916667,0.026116,4.187247,65.841311,0.0,0.050526,0.016105,0.084044,0.084044,0.857756,0.5,0.01195,4.618632,101.355291,0.0,0.034589,0.010854,0.081701,0.081701,0.857756,0.5,0.008794
exact_offset_passkey,331,phasewrap_adapter,phasewrap_adapter,10,0.03,0.7,0.6,0.8,full_batch_adam_structural_teacher_distillation,"['phase_cued_retrieval', 'exact_offset_passkey', 'tiny_text_fact_qa']","[5, 7, 8, 11, 12, 16, 19]",12,36,12,6,12,6.777936,0.70341,0.857756,3.247166,25.717362,0.083333,0.187801,0.048626,0.140235,0.056902,0.857756,1.0,0.028777,3.815838,45.414807,0.166667,0.221294,0.027589,0.088062,0.153371,0.857756,1.0,0.014731,4.633718,102.895931,0.0,0.035399,0.01031,0.076689,0.076689,0.857756,1.0,0.009728
